"Date","grey (eco)","grey (big)","blue","yellow","green","orange","brown","red"
14.06.2014,,,,,,,,
15.06.2014,,,,,,,,
16.06.2014,,,,"'3'","'2'",,,
17.06.2014,"b","'1'",,"'1'","'1'","'3'",,
18.06.2014,,,,,"'3'",,,
19.06.2014,,,,,,,,
20.06.2014,,,"'3'",,"'4'",,,
21.06.2014,,,,,,,,
22.06.2014,,,,,,,,
23.06.2014,,,,,"'2'",,,
24.06.2014,,"'2'",,"'2'","'1'","'4'",,
25.06.2014,,,,,"'3'",,,
26.06.2014,,,,"'4'","'4'",,,
27.06.2014,,,,,,,,
28.06.2014,,,,,,,,
29.06.2014,,,,,,,,
30.06.2014,,,,"'3'","'2'",,,
01.07.2014,,"'1'","'1'","'1'","'1'","'1'",,
02.07.2014,,,,,"'3'",,,
03.07.2014,,,,,"'4'",,,
04.07.2014,,,,,,,,
05.07.2014,,,,,,,,
06.07.2014,,,,,,,,
07.07.2014,,,"'4'",,"'2'",,,
08.07.2014,"a","'2'","'2'","'2'","'1'","'2'",,
09.07.2014,,,,,"'3'",,,
10.07.2014,,,,"'4'","'4'",,,
11.07.2014,,,,,,,,
12.07.2014,,,,,,,,
13.07.2014,,,,,,,,
14.07.2014,,,,"'3'","'2'",,,
15.07.2014,"b","'1'",,"'1'","'1'","'3'",,
16.07.2014,,,,,"'3'",,,
17.07.2014,,,"'3'",,"'4'",,,
18.07.2014,,,,,,,,
19.07.2014,,,,,,,,
20.07.2014,,,,,,,,
21.07.2014,,,,,"'2'",,,
22.07.2014,,"'2'",,"'2'","'1'","'4'",,
23.07.2014,,,,,"'3'",,,
24.07.2014,,,,"'4'","'4'",,,
25.07.2014,,,,,,,,
26.07.2014,,,,,,,,
27.07.2014,,,,,,,,
28.07.2014,,,,"'3'","'2'",,,
29.07.2014,,"'1'","'1'","'1'","'1'",,,
30.07.2014,,,,,"'3'",,,
31.07.2014,,,,,"'4'",,,
01.08.2014,,,,,,,,
02.08.2014,,,,,,,,
03.08.2014,,,,,,,,
04.08.2014,,,"'4'",,"'2'",,,
05.08.2014,"a","'2'","'2'","'2'","'1'","'1'",,
06.08.2014,,,,,"'3'",,,
07.08.2014,,,,"'4'","'4'",,,
08.08.2014,,,,,,,,
09.08.2014,,,,,,,,
10.08.2014,,,,,,,,
11.08.2014,,,,"'3'","'2'",,,
12.08.2014,"b","'1'",,"'1'","'1'","'2'",,
13.08.2014,,,,,"'3'",,,
14.08.2014,,,"'3'",,"'4'",,,
15.08.2014,,,,,,,,
16.08.2014,,,,,,,,
17.08.2014,,,,,,,,
18.08.2014,,,,,"'2'",,,
19.08.2014,,"'2'",,"'2'","'1'","'3'",,
20.08.2014,,,,,"'3'",,,
21.08.2014,,,,"'4'","'4'",,,
22.08.2014,,,,,,,,
23.08.2014,,,,,,,,
24.08.2014,,,,,,,,
25.08.2014,,,,"'3'","'2'",,,
26.08.2014,,"'1'","'1'","'1'","'1'","'4'",,
27.08.2014,,,,,"'3'",,,
28.08.2014,,,,,"'4'",,,
29.08.2014,,,,,,,,
30.08.2014,,,,,,,,
31.08.2014,,,,,,,,
01.09.2014,,,"'4'",,"'2'","'1'",,
02.09.2014,"a","'2'","'2'","'2'","'1'",,,
03.09.2014,,,,,"'3'",,,
04.09.2014,,,,"'4'","'4'",,,
05.09.2014,,,,,,,,
06.09.2014,,,,,,,,
07.09.2014,,,,,,,,
08.09.2014,,,,"'3'","'2'","'2'",,
09.09.2014,"b","'1'",,"'1'","'1'",,,
10.09.2014,,,,,"'3'",,,
11.09.2014,,,"'3'",,"'4'",,,
12.09.2014,,,,,,,,
13.09.2014,,,,,,,,
14.09.2014,,,,,,,,
15.09.2014,,,,,"'2'","'3'",,
16.09.2014,,"'2'",,"'2'","'1'",,,
17.09.2014,,,,,"'3'",,,
18.09.2014,,,,"'4'","'4'",,,
19.09.2014,,,,,,,,
20.09.2014,,,,,,,,
21.09.2014,,,,,,,,
22.09.2014,,,,"'3'","'2'","'4'",,
23.09.2014,,"'1'","'1'","'1'","'1'",,,
24.09.2014,,,,,"'3'",,,
25.09.2014,,,,,"'4'",,,
26.09.2014,,,,,,,,
27.09.2014,,,"'4'",,"'2'",,,
28.09.2014,,,,,,,,
29.09.2014,"a","'2'","'2'",,"'1'",,,
30.09.2014,,,,"'2'","'3'",,,
